HT14			rows = 658
14	0.5543	0.14521	400000	-0.0355
15	0.8168	0.19205	400000	-0.0733
-5	-0.5572	0.0104	450000	-0.0035
-3	-0.3359	0.00829	450000	-0.0023
-2	-0.2256	0.00726	450000	-0.0017
-1	-0.1166	0.00626	450000	-0.0008
0	0.0001	0.00505	450000	0
1	0.1169	0.00626	450000	0.0008
2	0.2259	0.00726	450000	0.0017
3	0.3362	0.00829	450000	0.0023
4	0.4469	0.00937	450000	0.0029
5	0.5575	0.0104	450000	0.0035
6	0.6668	0.01179	450000	0.0042
7	0.774	0.01364	450000	0.0051
8	0.8784	0.01605	450000	0.0061
9	0.9759	0.01975	450000	0.0075
10	1.065	0.02464	450000	0.0093
11	1.1384	0.03153	450000	0.0113
12	1.1737	0.04157	450000	0.0121
13	0.9544	0.10752	450000	-0.0384
14	0.5699	0.14282	450000	-0.0327
15	0.5638	0.15678	450000	-0.0403
-5	-0.5577	0.01005	500000	-0.0034
-4	-0.447	0.00902	500000	-0.0028
-3	-0.336	0.00803	500000	-0.0022
-2	-0.2253	0.00706	500000	-0.0016
-1	-0.1159	0.00612	500000	-0.0008
0	0.0001	0.00512	500000	0
1	0.1162	0.00612	500000	0.0008
2	0.2256	0.00706	500000	0.0016
3	0.3362	0.00804	500000	0.0022
4	0.4472	0.00902	500000	0.0028
5	0.558	0.01006	500000	0.0034
6	0.6677	0.01131	500000	0.0041
7	0.7753	0.01308	500000	0.0049
8	0.8805	0.01529	500000	0.0059
9	0.98	0.01856	500000	0.0072
10	1.0712	0.02306	500000	0.0089
11	1.1501	0.02881	500000	0.0107
13	1.1156	0.07051	500000	-0.0138
15	0.5785	0.15435	500000	-0.0375
-5	-0.558	0.00982	550000	-0.0033
-4	-0.4472	0.00875	550000	-0.0027
-3	-0.3359	0.00784	550000	-0.0021
-2	-0.2251	0.00688	550000	-0.0016
-1	-0.1153	0.00599	550000	-0.0008
0	0.0001	0.00528	550000	0
1	0.1156	0.00599	550000	0.0008
2	0.2254	0.00689	550000	0.0016
3	0.3362	0.00785	550000	0.0021
4	0.4475	0.00875	550000	0.0027
5	0.5582	0.00983	550000	0.0033
6	0.6684	0.01095	550000	0.0039
7	0.7765	0.01258	550000	0.0047
8	0.8817	0.0148	550000	0.0056
9	0.9831	0.01762	550000	0.0068
10	1.0763	0.02172	550000	0.0084
11	1.1531	0.0281	550000	0.0104
12	1.202	0.03706	550000	0.012
13	1.1516	0.0637	550000	-0.0094
14	0.9262	0.13218	550000	-0.0511
15	0.5635	0.15675	550000	-0.0408
-5	-0.5584	0.00952	600000	-0.0032
-4	-0.4474	0.00853	600000	-0.0026
-3	-0.336	0.00765	600000	-0.0021
-2	-0.2249	0.00675	600000	-0.0016
-1	-0.1149	0.00588	600000	-0.0008
0	0.0001	0.00544	600000	0
1	0.1152	0.00588	600000	0.0008
2	0.2252	0.00675	600000	0.0016
3	0.3362	0.00765	600000	0.0021
4	0.4477	0.00853	600000	0.0026
5	0.5587	0.00952	600000	0.0032
6	0.6688	0.01069	600000	0.0038
7	0.7774	0.01219	600000	0.0046
8	0.8828	0.01441	600000	0.0055
9	0.9848	0.01705	600000	0.0066
10	1.0801	0.02071	600000	0.0081
11	1.1609	0.02648	600000	0.0101
12	1.2225	0.03369	600000	0.0118
13	1.2149	0.0485	600000	0.0055
14	1.0257	0.10844	600000	-0.0386
-5	-0.5588	0.00926	650000	-0.0031
-4	-0.4475	0.00836	650000	-0.0026
-3	-0.336	0.00748	650000	-0.002
-2	-0.2248	0.00661	650000	-0.0015
-1	-0.1145	0.00578	650000	-0.0008
0	0.0001	0.00559	650000	-0
1	0.1148	0.00578	650000	0.0008
2	0.225	0.00661	650000	0.0015
3	0.3362	0.00748	650000	0.002
4	0.4478	0.00836	650000	0.0026
5	0.5591	0.00926	650000	0.0031
6	0.6693	0.01045	650000	0.0037
7	0.778	0.0119	650000	0.0044
8	0.8841	0.01392	650000	0.0053
9	0.986	0.01665	650000	0.0064
10	1.0806	0.02052	650000	0.0079
11	1.1676	0.02505	650000	0.0097
12	1.2314	0.03206	650000	0.0115
13	1.2081	0.04983	650000	0.0036
14	1.1293	0.08607	650000	-0.025
-5	-0.5592	0.00905	700000	-0.0031
-4	-0.4476	0.0082	700000	-0.0025
-3	-0.336	0.00735	700000	-0.002
-2	-0.2246	0.0065	700000	-0.0015
-1	-0.1114	0.00569	700000	-0.0014
0	0.0001	0.00571	700000	-0
2	0.2249	0.0065	700000	0.0015
3	0.3362	0.00735	700000	0.002
4	0.4479	0.0082	700000	0.0025
5	0.5594	0.00905	700000	0.0031
6	0.6698	0.01019	700000	0.0036
7	0.7784	0.0117	700000	0.0043
8	0.8852	0.01351	700000	0.0052
9	0.988	0.01607	700000	0.0063
10	1.0842	0.01964	700000	0.0077
11	1.1733	0.0238	700000	0.0093
12	1.2327	0.03181	700000	0.0114
13	1.2381	0.04419	700000	0.0092
14	1.1302	0.08649	700000	-0.0257
15	1.0099	0.12921	700000	-0.0492
-5	-0.5594	0.00887	750000	-0.003
-4	-0.4478	0.00802	750000	-0.0025
-3	-0.336	0.00723	750000	-0.002
-2	-0.2245	0.00639	750000	-0.0015
-1	-0.1054	0.0056	750000	-0.0027
0	0.0001	0.0058	750000	-0
1	0.1058	0.0056	750000	0.0027
2	0.2248	0.00639	750000	0.0015
3	0.3362	0.00723	750000	0.002
4	0.4481	0.00802	750000	0.0025
5	0.5597	0.00887	750000	0.003
6	0.6702	0.00997	750000	0.0036
7	0.7791	0.01141	750000	0.0042
8	0.8862	0.01317	750000	0.0051
9	0.9896	0.01558	750000	0.0061
10	1.087	0.01893	750000	0.0075
11	1.1758	0.0232	750000	0.0091
12	1.2434	0.03008	750000	0.0111
13	1.2657	0.04043	750000	0.0117
14	1.1573	0.08201	750000	-0.0233
15	0.9967	0.13259	750000	-0.0512
-5	-0.5596	0.00871	800000	-0.0029
-4	-0.448	0.00787	800000	-0.0024
-3	-0.336	0.00709	800000	-0.0019
-2	-0.2244	0.0063	800000	-0.0014
-1	-0.1007	0.00553	800000	-0.0036
0	0.0001	0.00587	800000	-0
1	0.101	0.00554	800000	0.0036
2	0.2246	0.00631	800000	0.0014
3	0.3363	0.0071	800000	0.0019
4	0.4483	0.00787	800000	0.0024
5	0.5599	0.00872	800000	0.0029
6	0.6706	0.00978	800000	0.0035
7	0.7797	0.01117	800000	0.0041
8	0.8869	0.0129	800000	0.005
9	0.991	0.01516	800000	0.006
10	1.0894	0.01831	800000	0.0073
11	1.1756	0.02321	800000	0.009
12	1.2517	0.02867	800000	0.0109
13	1.2912	0.03751	800000	0.0119
14	1.194	0.07538	800000	-0.0192
15	1.028	0.1256	800000	-0.0475
