NACA0012			rows = 658
-1	-0.1057	0.00574	750000	-0.002
0	0	0.00561	750000	-0
1	0.1057	0.00574	750000	0.002
2	0.211	0.00614	750000	0.0042
3	0.3169	0.00684	750000	0.0062
4	0.4374	0.00788	750000	0.0044
6	0.7205	0.01058	750000	-0.0098
7	0.8181	0.01175	750000	-0.0077
8	0.901	0.01304	750000	-0.0024
9	0.984	0.01459	750000	0.0028
10	1.0661	0.0166	750000	0.0076
11	1.1479	0.0188	750000	0.0117
12	1.2123	0.02223	750000	0.0177
13	1.2615	0.02565	750000	0.0251
14	1.2939	0.03064	750000	0.0309
15	1.3011	0.0397	750000	0.0322
-5	-0.5736	0.00903	800000	0.0015
-4	-0.4348	0.00773	800000	-0.0049
-3	-0.3171	0.00674	800000	-0.0059
-2	-0.2118	0.00605	800000	-0.0039
-1	-0.1061	0.00567	800000	-0.0019
0	-0	0.00557	800000	0
1	0.1061	0.00567	800000	0.0019
2	0.2118	0.00605	800000	0.0039
3	0.3171	0.00674	800000	0.0059
4	0.4348	0.00773	800000	0.0049
5	0.5736	0.00903	800000	-0.0015
6	0.7135	0.01039	800000	-0.0084
7	0.8204	0.01154	800000	-0.0081
8	0.9029	0.01284	800000	-0.0027
9	0.9867	0.0143	800000	0.0023
10	1.07	0.01616	800000	0.0069
11	1.1475	0.01877	800000	0.0117
12	1.2211	0.02144	800000	0.0166
13	1.2749	0.02463	800000	0.0236
14	1.3091	0.02927	800000	0.03
15	1.2985	0.03992	800000	0.0321
-5	-0.5683	0.00886	850000	0.0004
-4	-0.4319	0.00759	850000	-0.0054
-3	-0.3175	0.00662	850000	-0.0057
-2	-0.2125	0.00597	850000	-0.0036
-1	-0.1064	0.00562	850000	-0.0018
0	0	0.0055	850000	-0
1	0.1064	0.00562	850000	0.0018
2	0.2125	0.00597	850000	0.0036
3	0.3175	0.00662	850000	0.0057
4	0.4319	0.00759	850000	0.0054
5	0.5684	0.00886	850000	-0.0004
6	0.7076	0.01022	850000	-0.0071
